id,data_inversa,dia_semana,horario,uf,br
327559,2020-12-13,domingo,03:20:00,PB,405
327561,2020-12-13,domingo,06:50:00,RJ,116
327562,2020-12-13,domingo,07:30:00,ES,101
327563,2020-12-13,domingo,03:20:00,PB,104
327565,2020-12-13,domingo,06:00:00,PR,277
327566,2020-12-13,domingo,02:10:00,SC,470
327567,2020-12-13,domingo,05:30:00,MS,376
327570,2020-12-13,domingo,03:50:00,BA,101
327571,2020-12-13,domingo,08:25:00,SC,470
327572,2020-12-13,domingo,07:30:00,SP,381
327573,2020-12-12,s�bado,22:55:00,RJ,116
327575,2020-12-13,domingo,02:35:00,RJ,116
327576,2020-12-13,domingo,08:20:00,MG,381
327579,2020-12-12,s�bado,23:05:00,PR,163
327580,2020-12-13,domingo,05:00:00,BA,101
327581,2020-12-13,domingo,04:30:00,MG,40
327582,2020-12-13,domingo,08:40:00,MG,381
327583,2020-12-13,domingo,08:50:00,PB,230
327584,2020-12-13,domingo,08:45:00,MG,381
327585,2020-12-13,domingo,07:30:00,PE,423
327587,2020-12-13,domingo,09:00:00,MG,262
327588,2020-12-13,domingo,00:10:00,GO,153
327589,2020-12-13,domingo,09:57:00,PR,277
327590,2020-12-13,domingo,08:50:00,SC,101
327592,2020-12-13,domingo,09:50:00,PR,116
327593,2020-12-13,domingo,06:30:00,SC,163
327595,2020-12-13,domingo,10:10:00,SC,280
327597,2020-12-13,domingo,09:15:00,MG,381
327598,2020-12-13,domingo,08:00:00,AP,210
327599,2020-12-13,domingo,09:49:00,PR,369
327600,2020-12-13,domingo,10:50:00,PB,101
327602,2020-12-13,domingo,10:42:00,RJ,101
327605,2020-12-13,domingo,04:20:00,CE,222
327607,2020-12-13,domingo,07:50:00,SC,101
327608,2020-12-13,domingo,11:35:00,RS,392
327609,2020-12-13,domingo,11:05:00,SC,101
327610,2020-12-12,s�bado,03:30:00,MS,163
327611,2020-12-13,domingo,10:20:00,SP,381
327612,2020-12-13,domingo,12:40:00,AL,101
327613,2020-12-13,domingo,12:30:00,MG,365
327614,2020-12-13,domingo,09:00:00,PE,424
327615,2020-12-13,domingo,11:00:00,ES,262
327616,2020-12-13,domingo,07:50:00,GO,153
327618,2020-12-13,domingo,09:55:00,MG,116
327619,2020-12-13,domingo,13:00:00,MG,153
327620,2020-12-13,domingo,13:00:00,PE,0
327622,2020-12-13,domingo,08:15:00,RJ,116
327626,2020-12-13,domingo,13:45:00,PB,230
327627,2020-12-13,domingo,12:10:00,PE,423
327628,2020-12-13,domingo,13:30:00,PE,428
327630,2020-12-13,domingo,13:12:00,PR,116
327631,2020-12-13,domingo,11:45:00,SC,280
327632,2020-12-13,domingo,14:05:00,RJ,101
327634,2020-12-13,domingo,14:30:00,PR,376
327635,2020-12-13,domingo,14:00:00,RS,470
327637,2020-12-13,domingo,15:10:00,DF,60
327638,2020-12-13,domingo,15:30:00,MG,40
327639,2020-12-13,domingo,13:45:00,PB,230
327640,2020-12-13,domingo,10:40:00,SC,101
327641,2020-12-13,domingo,15:30:00,AL,104
327642,2020-12-13,domingo,14:20:00,SC,282
327643,2020-12-13,domingo,13:35:00,RJ,116
327644,2020-12-13,domingo,15:00:00,BA,101
327645,2020-12-13,domingo,14:40:00,SP,116
327648,2020-12-13,domingo,09:40:00,MA,316
327650,2020-12-13,domingo,14:30:00,PB,104
327651,2020-12-13,domingo,14:50:00,ES,101
327652,2020-12-13,domingo,16:00:00,RS,158
327653,2020-12-13,domingo,15:50:00,PR,116
327654,2020-12-13,domingo,16:20:00,MG,267
327655,2020-12-13,domingo,15:00:00,BA,407
327656,2020-12-13,domingo,16:10:00,SC,101
327657,2020-12-13,domingo,16:00:00,PR,476
327658,2020-12-13,domingo,14:30:00,MG,262
327659,2020-12-13,domingo,15:10:00,PE,424
327660,2020-12-13,domingo,14:30:00,PE,104
327662,2020-12-13,domingo,17:00:00,RS,116
327663,2020-12-13,domingo,15:00:00,MS,60
327664,2020-12-13,domingo,17:00:00,RJ,101
327665,2020-12-13,domingo,15:50:00,RS,116
327666,2020-12-13,domingo,17:02:00,AL,316
327667,2020-12-13,domingo,16:35:00,SP,381
327668,2020-12-13,domingo,14:40:00,AL,104
327669,2020-12-13,domingo,17:30:00,RN,101
327670,2020-12-13,domingo,17:00:00,MG,146
327673,2020-12-13,domingo,16:20:00,MG,381
327674,2020-12-13,domingo,16:20:00,SC,116
327675,2020-12-13,domingo,18:10:00,AL,104
327676,2020-12-13,domingo,17:20:00,TO,153
327677,2020-12-13,domingo,18:12:00,AL,101
327678,2020-12-13,domingo,17:20:00,RJ,101
327679,2020-12-13,domingo,15:02:00,RJ,40
327680,2020-12-13,domingo,17:55:00,MG,381
327681,2020-12-13,domingo,16:20:00,AL,316
327683,2020-12-13,domingo,17:05:00,RS,116
327685,2020-12-13,domingo,18:00:00,MG,381
327686,2020-12-13,domingo,18:00:00,PR,116
327687,2020-12-13,domingo,18:10:00,SE,101
327688,2020-12-13,domingo,18:40:00,SC,101
327689,2020-12-13,domingo,18:00:00,MG,116
327690,2020-12-13,domingo,17:00:00,RR,174
327691,2020-12-13,domingo,17:25:00,MG,116
327692,2020-12-13,domingo,18:55:00,SC,282
327693,2020-12-13,domingo,17:30:00,MG,365
327694,2020-12-13,domingo,17:00:00,PR,369
327695,2020-12-13,domingo,17:30:00,PR,277
327696,2020-12-13,domingo,18:20:00,PE,101
327698,2020-12-13,domingo,18:00:00,PB,230
327699,2020-12-13,domingo,18:20:00,PB,230
327701,2020-12-13,domingo,18:20:00,RN,101
327702,2020-12-13,domingo,18:40:00,GO,153
327703,2020-12-13,domingo,19:00:00,GO,153
327704,2020-12-13,domingo,19:15:00,RS,116
327705,2020-12-13,domingo,18:30:00,BA,116
327706,2020-12-13,domingo,19:20:00,ES,101
327707,2020-12-13,domingo,19:00:00,PR,116
327708,2020-12-13,domingo,19:30:00,PE,101
327709,2020-12-13,domingo,20:05:00,GO,40
327710,2020-12-13,domingo,19:15:00,SP,116
327712,2020-12-13,domingo,19:35:00,RJ,40
327714,2020-12-13,domingo,20:15:00,SP,101
327716,2020-12-10,quinta-feira,11:20:00,RJ,40
327718,2020-12-13,domingo,10:50:00,SC,280
327719,2020-12-13,domingo,19:40:00,SP,381
327721,2020-12-13,domingo,16:00:00,MG,116
327722,2020-12-13,domingo,17:15:00,GO,60
327724,2020-12-13,domingo,10:00:00,SP,116
327725,2020-12-13,domingo,19:30:00,MG,40
327726,2020-12-13,domingo,20:30:00,MG,365
327728,2020-12-13,domingo,18:30:00,PR,116
327729,2020-12-13,domingo,20:15:00,PR,476
